,id,month,rest_size,application
104,11582,1,69,0
105,11582,4,51,0
106,11582,10,49,0
107,11583,1,67,0
108,11583,4,41,0
109,11583,10,66,1
110,11585,2,40,0
111,11585,5,39,0
112,11585,11,53,0
113,11591,3,56,0
114,11591,5,61,1
115,11591,7,36,0
116,11592,2,42,0
117,11592,9,36,1
118,11592,11,50,0
119,11594,1,39,0
120,11594,9,36,0
121,11594,11,36,0
122,11596,2,55,0
123,11596,5,59,0
124,11596,7,36,0
125,11600,2,57,1
126,11600,4,42,0
127,11600,7,36,0
128,11600,10,40,0
129,11601,1,39,0
130,11601,5,37,0
131,11601,9,36,0
132,11603,1,58,0
133,11603,3,60,0
134,11603,6,36,0
135,11604,2,46,0
136,11604,4,60,0
137,11604,6,36,0
138,11604,9,36,0
139,11609,5,61,1
140,11609,8,36,0
141,11609,11,50,1
142,11613,1,62,0
143,11613,3,60,0
144,11613,6,36,0
145,11614,1,54,0
146,11614,4,56,0
147,11614,9,36,1
148,11619,3,44,0
149,11619,8,36,0
150,11619,10,51,0
151,11619,12,36,0
152,11623,5,50,0
153,11623,7,36,0
154,11623,9,36,0
155,11623,11,41,0
156,11625,4,49,0
157,11625,7,36,0
158,11625,10,42,0
159,11626,4,64,0
160,11626,6,36,0
161,11626,8,36,1
162,11626,11,45,0
163,11632,5,41,0
164,11632,7,36,0
165,11632,10,49,0
166,11632,12,36,1
167,11634,2,43,0
168,11634,5,42,0
169,11634,9,36,0
170,11635,3,54,0
171,11635,6,36,0
172,11635,10,55,0
173,11635,12,36,0
174,11636,1,63,0
175,11636,3,69,1
176,11636,9,36,1
177,11640,1,43,0
178,11640,3,49,1
179,11640,5,73,1
180,11644,1,67,0
181,11644,3,55,0
182,11644,9,36,0
183,11651,3,51,0
184,11651,6,36,0
185,11651,12,36,0
186,11669,4,43,0
187,11669,6,36,0
188,11669,9,36,0
189,11669,11,44,0
190,11671,3,67,0
191,11671,5,72,0
192,11671,7,36,1
193,11678,2,72,1
194,11678,5,51,0
195,11678,10,46,0
196,11691,2,66,0
197,11691,4,48,1
198,11691,10,55,0
199,11707,4,41,1
200,11707,10,53,0
201,11707,12,36,1
202,11712,6,36,0
203,11712,9,36,0
204,11712,11,44,0
205,11717,2,59,0
206,11717,4,64,0
207,11717,8,36,0
208,11718,2,69,0
209,11718,4,61,0
210,11718,7,36,0
211,11727,3,71,0
212,11727,5,67,1
213,11727,8,36,1
214,11729,4,56,0
215,11729,6,36,0
216,11729,8,36,0
217,11729,10,53,0
218,11730,1,51,0
219,11730,5,43,1
220,11730,10,72,0
221,11731,5,42,0
222,11731,8,36,0
223,11731,10,45,0
224,11731,12,36,0
225,11742,3,63,0
226,11742,5,58,0
227,11742,9,36,0
228,11743,1,61,0
229,11743,3,63,0
230,11743,5,56,0
231,11745,5,61,0
232,11745,8,36,0
233,11745,11,50,0
234,11756,8,36,0
235,11760,11,69,0
236,11800,5,45,1
237,11800,12,36,0
238,11801,3,71,0
239,11801,5,64,1
240,11801,8,36,0
241,11802,5,40,0
242,11802,8,36,0
243,11802,10,38,0
244,11803,1,65,0
245,11803,3,70,0
246,11803,6,36,0
247,11804,6,36,0
248,11804,10,67,0
249,11804,12,36,0
250,11805,4,65,0
251,11805,6,36,0
252,11805,10,61,0
253,11806,1,72,0
254,11806,4,59,0
255,11806,11,36,0
256,11807,1,64,0
257,11807,4,57,0
258,11807,6,36,0
259,11808,1,67,0
260,11808,5,61,0
261,11808,8,36,0
262,11809,2,50,0
263,11809,5,41,0
264,11809,7,36,0
265,11809,11,45,0
266,11810,5,67,0
267,11810,10,52,1
268,11812,1,43,0
269,11812,4,61,0
270,11812,8,36,0
271,11813,4,57,0
272,11813,7,36,0
273,11813,9,36,0
274,11813,12,36,1
275,11815,1,42,0
276,11815,10,49,1
277,11816,2,52,1
278,11816,6,36,0
279,11816,10,56,0
280,11816,12,36,0
281,11822,6,36,0
282,11822,8,36,1
283,11822,10,43,0
284,11822,12,36,0
285,11824,1,53,0
286,11824,4,42,0
287,11824,7,36,0
288,11824,9,36,1
289,11825,3,60,0
290,11825,5,38,0
291,11825,7,36,0
292,11825,12,36,0
293,11829,1,51,0
294,11829,3,72,0
295,11829,5,48,0
296,11836,1,38,0
297,11836,4,41,0
298,11836,7,36,0
299,11836,10,45,0
300,11846,5,52,1
301,11846,7,36,0
302,11848,12,36,0
303,11850,2,72,1
304,11850,4,39,0
305,11850,7,36,1
306,11850,12,36,1
307,11853,3,41,0
308,11853,9,36,0
309,11853,11,36,0
310,11857,2,72,0
311,11857,5,36,0
312,11857,7,36,0
313,11857,9,36,0
314,11858,5,44,0
315,11858,8,36,0
316,11858,10,51,1
317,11858,12,36,0
318,11861,9,36,0
319,11861,11,69,1
320,11862,2,37,0
321,11862,5,47,0
322,11862,7,36,1
323,11862,10,39,1
324,11864,2,54,0
325,11864,4,64,0
326,11864,7,36,0
327,11865,4,54,0
328,11865,7,36,0
329,11865,9,36,0
330,11865,11,52,0
331,11866,3,70,0
332,11866,7,36,0
333,11866,12,36,0
334,11867,2,37,0
335,11867,10,38,0
336,11869,2,44,1
337,11869,9,36,0
338,11869,11,48,0
339,11870,2,39,0
340,11870,10,43,0
341,11872,1,65,0
342,11872,3,73,0
343,11872,7,36,0
344,11874,3,43,0
345,11874,7,36,0
346,11874,11,60,0
347,11880,1,44,0
348,11880,4,49,0
349,11883,4,62,1
350,11883,6,36,0
351,11883,9,36,0
352,11883,12,36,0
353,11884,1,65,0
354,11884,5,45,0
355,11884,7,36,0
356,11888,3,66,0
357,11888,8,36,0
358,11888,10,68,0
359,11953,2,59,0
360,11953,5,44,0
361,11953,8,36,0
362,11953,12,36,0
363,12102,3,40,0
364,12102,5,43,0
365,12102,9,36,0
366,12102,11,50,0
367,12104,1,67,0
368,12104,3,64,0
369,12104,8,36,0
370,12112,2,50,0
371,12112,5,40,0
372,12112,11,57,1
373,12124,1,54,0
374,12124,4,51,0
375,12124,6,36,0
376,12124,11,42,0
377,12126,1,55,0
378,12126,5,40,1
379,12126,10,61,1
380,12131,3,55,0
381,12131,9,36,0
382,12131,12,36,0
383,12134,2,44,0
384,12134,4,43,0
385,12134,7,36,0
386,12134,11,58,0
387,12137,2,52,1
388,12137,6,36,0
389,12137,10,44,0
390,12137,12,36,0
391,12139,1,55,1
392,12139,3,64,0
393,12139,5,39,0
394,12139,6,3,0
395,12140,5,39,1
396,12140,9,36,1
397,12140,11,51,1
398,12143,4,50,1
399,12143,10,39,0
400,12143,12,36,1
401,12149,4,37,0
402,12149,7,36,0
403,12149,10,50,0
404,12149,12,36,0
405,12151,1,42,0
406,12151,4,56,1
407,12151,11,50,0
408,12153,1,57,1
409,12153,6,36,0
410,12153,10,45,1
411,12157,1,41,0
412,12157,3,36,0
413,12157,5,37,0
414,12157,7,36,0
415,12164,1,67,1
416,12164,3,60,0
417,12164,6,36,0
418,12168,5,55,1
419,12168,7,36,0
420,12168,11,56,0
421,12169,5,57,0
422,12169,7,25,0
423,12169,8,11,0
424,12169,10,58,0
425,12174,2,42,0
426,12174,11,55,0
427,12182,3,64,0
428,12182,5,38,0
429,12182,7,36,0
430,12182,9,36,0
431,12185,2,62,0
432,12185,5,47,0
433,12185,9,36,0
434,12185,12,36,0
435,12187,2,38,0
436,12187,4,63,0
437,12187,7,36,0
438,12187,10,37,0
439,12190,4,71,0
440,12190,7,36,0
441,12190,11,36,0
442,12196,5,39,0
443,12196,9,36,0
444,12197,5,62,0
445,12197,7,36,0
446,12197,9,36,0
447,12197,12,36,0
448,12198,2,65,1
449,12198,4,66,0
450,12198,7,36,1
451,12199,1,56,0
452,12199,5,54,0
453,12199,7,36,0
454,12199,10,36,0
455,12201,4,65,1
456,12201,6,36,1
457,12201,10,49,0
458,12202,3,60,0
459,12202,5,59,0
460,12202,8,36,0
461,12204,5,62,0
462,12204,7,36,0
463,12204,10,73,0
464,12206,1,40,1
465,12206,4,58,1
466,12206,6,36,0
467,12206,9,36,0
468,12207,1,66,0
469,12207,8,36,0
470,12207,11,61,0
471,12208,5,57,0
472,12208,9,36,0
473,12208,11,44,0
474,12214,5,36,0
475,12214,7,36,0
476,12214,9,36,0
477,12214,11,40,0
478,12215,4,38,0
479,12215,6,36,1
480,12215,8,36,0
481,12215,11,40,0
482,12216,4,70,0
483,12216,6,36,0
484,12216,8,36,0
485,12216,12,36,0
486,12217,2,70,0
487,12217,4,73,0
488,12217,9,36,0
489,12218,1,42,0
490,12218,6,36,0
491,12218,10,41,0
492,12219,3,58,0
493,12219,5,36,1
494,12219,7,36,1
495,12219,11,49,1
496,12220,1,69,0
497,12220,3,57,0
498,12220,7,36,0
499,12226,4,53,0
500,12226,8,36,0
501,12226,10,43,1
502,12226,12,36,1
503,12228,2,52,0
504,12228,4,63,0
505,12228,8,36,0
506,12230,1,48,0
507,12230,3,56,1
508,12230,5,54,0
509,12243,1,57,0
510,12243,4,46,0
511,12243,6,36,0
512,12243,8,36,0
513,12245,3,46,0
514,12245,5,44,1
515,12245,8,36,0
516,12245,12,36,0
517,12247,3,69,0
518,12247,5,73,0
519,12247,9,36,0
520,12248,4,68,1
521,12248,10,57,0
522,12249,7,36,0
523,12249,9,36,1
524,12249,11,56,1
525,12250,2,36,0
526,12250,4,67,0
527,12250,6,36,0
528,12250,8,36,0
529,12259,1,46,0
530,12259,9,36,1
531,12259,11,49,1
532,12260,1,53,1
533,12260,5,38,1
534,12260,10,44,0
535,12261,7,36,0
536,12261,10,41,0
537,12263,6,36,0
538,12263,10,47,0
539,12263,12,36,0
540,12268,2,42,0
541,12268,5,67,0
542,12268,8,36,0
543,12268,12,36,0
544,12270,3,53,0
545,12270,7,36,0
546,12270,9,36,0
547,12270,12,36,0
548,12271,2,61,0
549,12271,7,36,0
550,12271,10,45,0
551,12271,12,36,0
552,12272,1,51,0
553,12272,4,70,0
554,12272,6,36,0
555,12274,4,62,0
556,12274,10,73,0
557,12274,12,36,0
558,12278,2,60,1
559,12278,4,38,1
560,12278,6,36,0
561,12278,9,36,1
562,12280,1,63,0
563,12280,3,58,0
564,12280,5,63,0
565,12282,2,57,0
566,12282,5,44,0
567,12282,9,36,0
568,12282,12,36,0
569,12287,1,38,0
570,12287,3,64,0
571,12287,5,62,0
572,12289,2,45,0
573,12289,4,56,0
574,12289,8,36,0
575,12289,12,36,0
576,12292,7,36,0
577,12292,11,64,0
578,12293,1,53,1
579,12293,3,63,1
580,12293,5,61,0
581,12297,2,39,0
582,12297,4,59,0
583,12297,10,47,1
584,12297,12,36,0
585,12301,4,54,0
586,12301,6,36,0
587,12301,12,36,0
588,12305,2,58,0
589,12305,4,72,0
590,12305,6,36,0
591,12310,1,45,1
592,12310,3,62,0
593,12310,10,53,1
594,12324,2,68,0
595,12324,4,54,0
596,12324,7,36,0
597,12331,5,63,1
598,12331,11,63,0
599,12333,2,51,0
600,12333,8,36,0
601,12333,10,38,0
602,12333,12,36,0
603,12338,2,46,0
604,12338,8,36,0
605,12338,10,60,0
606,12338,12,36,0
607,12349,2,54,1
608,12349,4,40,0
609,12349,10,72,1
610,12352,3,44,0
611,12352,5,55,0
612,12352,8,36,0
613,12357,1,69,0
614,12357,2,1,0
615,12357,4,50,0
616,12357,9,36,0
617,12359,1,47,0
618,12359,3,45,0
619,12359,6,36,1
620,12359,8,36,0
621,12361,2,53,0
622,12361,4,62,0
623,12361,10,50,0
624,12362,1,46,0
625,12362,5,60,1
626,12362,10,60,0
627,12366,1,40,0
628,12366,5,64,0
629,12366,9,36,0
630,12368,1,44,0
631,12368,3,59,0
632,12368,5,54,0
633,12371,3,51,0
634,12371,6,36,0
635,12371,10,65,0
636,12373,4,66,0
637,12373,7,36,0
638,12373,10,53,0
639,12377,1,48,1
640,12377,5,53,0
641,12377,7,36,0
642,12377,10,42,0
643,12379,7,36,0
644,12379,9,36,1
645,12379,11,53,0
646,12383,3,61,0
647,12383,6,36,0
648,12383,10,36,1
649,12385,2,37,1
650,12385,5,39,0
651,12385,10,73,0
652,12386,2,53,0
653,12386,4,73,0
654,12386,6,36,0
655,12389,3,71,0
656,12389,5,63,1
657,12389,8,36,1
658,12390,2,50,0
659,12390,4,71,0
660,12390,6,36,0
661,12391,1,56,1
662,12391,3,58,0
663,12391,10,39,1
664,12393,5,57,0
665,12393,12,36,0
666,12395,2,46,1
667,12395,7,36,1
668,12395,10,65,0
669,12398,3,53,0
670,12398,8,36,0
671,12398,12,36,1
672,12399,3,51,0
673,12399,5,44,1
674,12399,7,36,1
675,12399,9,36,0
676,12404,3,73,0
677,12404,5,53,1
678,12404,9,36,0
679,12410,1,61,0
680,12410,5,67,0
681,12410,9,36,0
682,12413,3,49,0
683,12415,4,37,1
684,12415,8,36,1
685,12415,11,56,1
686,12418,3,73,0
687,12418,8,36,1
688,12418,10,38,0
689,12418,12,36,0
690,12419,5,55,0
691,12419,7,36,0
692,12419,9,36,0
693,12420,2,56,0
694,12420,4,70,0
695,12420,8,36,0
696,12422,7,36,0
697,12422,11,63,0
698,12428,1,55,1
699,12428,3,44,0
700,12428,5,49,0
701,12428,7,36,0
702,12429,1,56,0
703,12429,4,49,0
704,12429,7,36,0
705,12429,9,36,0
706,12437,2,55,0
707,12437,4,65,0
708,12437,9,36,0
709,12441,3,72,0
710,12441,5,47,0
711,12441,8,36,0
712,12442,2,67,0
713,12442,5,44,1
714,12442,7,36,0
715,12442,9,36,1
716,12444,3,50,0
717,12444,8,36,0
718,12444,10,39,0
719,12444,12,36,0
720,12447,2,62,0
721,12447,7,36,0
722,12447,9,36,1
723,12450,2,68,0
724,12450,7,36,1
725,12450,11,44,0
726,12454,2,55,0
727,12454,4,38,0
728,12454,6,36,0
729,12455,3,38,0
730,12455,11,61,0
731,12456,2,67,0
732,12456,10,40,1
733,12459,2,52,1
734,12459,8,36,0
735,12459,11,60,0
736,12460,1,63,0
737,12460,4,36,0
738,12460,10,56,0
739,12463,1,40,0
740,12463,3,41,0
741,12463,5,62,1
742,12463,8,36,0
743,12465,5,50,0
744,12465,10,36,0
745,12465,12,36,0
746,12466,1,49,1
747,12466,4,37,1
748,12466,7,36,1
749,12466,10,47,1
750,12467,4,62,0
751,12467,7,36,0
752,12467,10,45,0
753,12471,1,57,0
754,12471,4,57,1
755,12471,10,66,0
756,12473,1,72,0
757,12473,3,53,0
758,12473,7,36,1
759,12481,5,49,0
760,12481,7,36,1
761,12481,10,60,1
762,12481,12,36,0
763,12485,3,61,0
764,12485,5,61,0
765,12485,8,36,0
766,12495,3,45,0
767,12495,5,53,0
768,12495,10,60,1
769,12497,2,69,0
770,12497,4,38,0
771,12497,6,36,0
772,12497,9,36,1
773,12498,1,53,0
774,12498,4,38,0
775,12498,11,72,0
776,12499,5,38,0
777,12499,9,36,0
778,12499,12,36,0
779,12501,1,61,0
780,12501,3,70,1
781,12501,5,44,0
782,12504,4,64,0
783,12504,8,36,0
784,12504,10,42,1
785,12507,2,53,0
786,12507,6,36,0
787,12507,10,72,0
788,12508,1,51,1
789,12508,3,64,1
790,12508,5,65,1
791,12512,1,69,1
792,12512,4,63,1
793,12512,8,36,1
794,12513,2,71,0
795,12513,5,69,0
796,12513,9,36,0
797,12515,1,36,0
798,12515,3,36,0
799,12515,8,36,0
800,12515,10,36,1
801,12523,2,55,0
802,12523,5,39,0
803,12523,7,36,0
804,12523,12,36,0
805,12536,4,39,0
806,12536,6,36,0
807,12536,10,48,0
808,12536,12,36,0
809,12537,2,42,0
810,12537,5,67,0
811,12537,8,36,0
812,12537,11,36,0
813,12544,1,37,0
814,12544,3,65,0
815,12544,5,45,0
816,12544,9,36,1
817,12546,2,59,1
818,12546,5,43,0
819,12546,7,36,0
820,12546,9,36,1
821,12551,3,43,0
822,12551,5,69,0
823,12551,10,37,0
824,12560,3,71,1
825,12565,6,36,0
826,12565,11,43,0
827,12566,3,55,0
828,12566,9,36,0
829,12567,2,39,0
830,12567,4,66,0
831,12567,11,41,0
832,12577,1,56,1
833,12577,3,43,1
834,12577,5,56,0
835,12584,2,72,0
836,12584,4,38,0
837,12584,7,36,0
838,12584,12,36,1
839,12586,2,42,1
840,12586,4,73,0
841,12586,6,36,1
842,12587,3,50,1
843,12587,5,59,0
844,12587,7,36,0
845,12589,1,38,0
846,12589,11,69,1
847,12590,1,58,0
848,12590,4,58,0
849,12590,7,36,0
850,12591,4,38,0
851,12591,10,61,1
852,12591,12,36,0
853,12594,2,61,0
854,12594,4,61,0
855,12594,6,36,0
856,12596,1,52,0
857,12596,4,41,0
858,12596,10,67,0
859,12597,2,40,0
860,12597,5,37,0
861,12597,10,39,1
862,12602,2,54,0
863,12602,5,62,0
864,12602,8,36,0
865,12606,4,38,0
866,12606,10,48,1
867,12606,12,36,0
868,12619,1,43,0
869,12619,4,55,0
870,12619,6,36,0
871,12619,9,36,0
872,12624,2,49,1
873,12624,6,36,0
874,12624,9,36,1
875,12626,2,38,0
876,12626,5,43,0
877,12626,7,36,0
878,12626,11,53,0
879,12630,2,59,0
880,12630,4,57,0
881,12630,6,36,0
882,12634,3,47,0
883,12634,8,36,0
884,12634,11,56,0
885,12643,1,37,0
886,12643,5,47,0
887,12643,8,36,0
888,12644,2,51,0
889,12644,6,36,0
890,12644,10,64,0
891,12672,1,63,0
892,12672,5,49,1
893,12672,8,36,0
894,12689,1,36,0
895,12689,3,44,0
896,12689,5,38,0
897,12689,10,56,0
898,12704,2,45,1
899,12704,4,40,0
900,12704,8,36,0
901,12704,11,36,0
902,12729,2,58,0
903,12729,5,57,0
904,12729,7,36,0
905,12745,2,49,0
906,12745,8,36,0
907,12745,10,65,0
908,12756,1,52,0
909,12756,5,49,0
910,12756,7,36,0
911,12756,11,44,0
912,12762,2,46,0
913,12762,4,59,0
914,12762,6,36,0
915,12762,12,36,0
916,12766,1,57,0
917,12766,3,61,0
918,12766,7,36,0
919,12767,4,69,0
920,12767,10,61,0
921,12770,3,60,0
922,12770,9,36,0
923,12779,1,71,0
924,12779,5,66,1
925,12805,1,41,0
926,12805,5,68,0
927,12805,7,36,0
928,12811,2,60,0
929,12811,5,72,0
930,12811,9,36,0
931,12819,1,70,0
932,12819,5,62,0
933,12819,9,36,1
934,12839,1,58,0
935,12839,4,40,0
936,12839,9,36,0
937,12839,11,36,0
938,12840,3,73,0
939,12840,5,67,0
940,12840,7,36,1
941,12843,4,53,0
942,12843,6,36,0
943,12843,8,36,0
944,12843,12,36,0
945,12844,2,58,0
946,12844,5,51,1
947,12844,10,45,1
948,12846,2,69,0
949,12846,4,65,0
950,12846,10,48,0
951,12847,2,36,0
952,12847,4,51,0
953,12847,8,36,0
954,12847,10,42,0
955,12850,2,64,0
956,12850,4,45,1
957,12850,7,36,0
958,12850,9,36,0
959,12903,5,62,0
960,12903,10,43,0
961,12904,1,64,0
962,12904,8,36,0
963,12904,10,52,0
964,12906,3,53,0
965,12906,5,38,1
966,12906,10,41,0
967,12908,3,41,0
968,12908,5,60,1
969,12908,8,36,1
970,12908,10,39,0
971,12909,1,38,0
972,12909,3,57,0
973,12909,7,36,0
974,12909,10,49,0
975,12910,1,60,1
976,12910,7,36,1
977,12910,10,64,1
978,12915,2,64,1
979,12915,4,56,0
980,12915,6,36,0
981,12917,2,43,1
982,12917,5,59,0
983,12917,10,36,1
984,12922,4,66,0
985,12922,7,36,0
986,12922,9,36,1
987,12923,2,44,0
988,12923,6,36,0
989,12923,9,36,0
990,12923,11,55,0
991,12924,1,46,0
992,12924,4,42,0
993,12924,9,36,1
994,12924,11,49,1
995,13541,3,61,1
996,13541,5,57,0
997,13541,7,36,0
998,13548,1,55,0
999,13548,3,36,0
1000,13548,5,63,0
1001,13550,1,48,0
1002,13550,3,71,0
1003,13550,7,36,0
1004,15005,5,39,0
1005,15005,7,36,0
1006,15005,9,36,1
1007,15005,11,64,1
1008,15011,1,62,0
1009,15011,3,67,0
1010,15011,7,36,0
1011,15034,7,36,0
1012,15034,11,66,0
1013,15035,2,43,0
1014,15035,10,40,0
1015,15035,12,36,0
1016,15050,2,38,1
1017,15050,4,65,0
1018,15050,6,36,0
1019,15050,10,37,0
1020,15052,5,39,1
1021,15052,9,36,1
1022,15052,11,62,0
1023,15053,2,42,1
1024,15053,5,48,0
1025,15053,10,57,0
1026,15053,12,36,0
1027,15060,3,42,0
1028,15060,5,69,0
1029,15060,10,38,0
1030,15064,4,53,0
1031,15064,7,36,0
1032,15064,10,63,0
1033,15067,1,70,0
1034,15067,6,36,0
1035,15067,11,72,0
1036,15069,1,62,1
1037,15069,3,46,1
1038,15069,7,36,1
1039,15069,9,36,0
1040,15084,1,37,0
1041,15084,4,69,0
1042,15084,11,67,0
1043,15085,3,50,0
1044,15085,5,43,0
1045,15085,8,36,0
1046,15085,10,50,0
1047,15086,1,70,0
1048,15086,3,56,0
1049,15086,6,36,0
1050,15087,3,63,0
1051,15087,6,36,0
1052,15087,8,36,1
1053,15087,11,42,1
1054,15088,2,65,0
1055,15088,5,36,0
1056,15088,8,36,0
1057,15088,12,36,0
1058,15089,8,36,0
1059,15089,11,70,0
1060,15093,3,47,0
1061,15093,6,36,0
1062,15093,8,36,0
1063,15093,10,50,0
1064,15096,2,49,1
1065,15096,5,39,1
1066,15099,2,54,0
1067,15099,5,64,0
1068,15099,8,36,0
1069,15102,2,68,0
1070,15102,5,65,0
1071,15103,3,50,0
1072,15103,5,36,0
1073,15103,8,36,0
1074,15103,10,42,0
1075,15104,1,52,1
1076,15104,3,57,0
1077,15104,10,60,1
1078,15111,2,38,0
1079,15111,5,37,0
1080,15111,8,36,0
1081,15111,10,63,0
1082,15113,1,62,0
1083,15113,4,49,0
1084,15113,10,64,1
1085,15114,2,44,0
1086,15114,6,36,0
1087,15114,11,44,0
1088,15115,2,57,0
1089,15115,11,45,0
1090,15117,5,57,0
1091,15117,10,52,0
1092,15117,12,36,0
1093,15118,1,56,0
1094,15118,5,57,0
1095,15118,11,66,0
1096,15122,3,41,0
1097,15122,7,36,0
1098,15122,9,36,1
1099,15123,6,36,1
1100,15123,9,36,0
1101,15123,11,49,1
1102,15125,1,63,0
1103,15125,3,51,0
1104,15125,6,36,0
1105,15127,1,66,0
1106,15127,9,36,0
1107,15139,2,56,0
1108,15139,3,17,1
1109,15139,7,36,0
1110,15139,12,36,1
1111,15140,3,52,0
1112,15140,5,58,0
1113,15140,8,36,0
1114,15140,12,36,0
1115,15141,4,63,1
1116,15141,6,36,0
1117,15141,8,36,0
1118,15141,10,43,0
1119,15142,1,65,0
1120,15142,3,71,0
1121,15142,8,36,0
1122,15148,5,73,0
1123,15148,10,50,0
1124,15148,12,36,0
1125,15149,2,68,1
1126,15149,4,68,0
1127,15149,6,36,0
1128,15151,3,54,0
1129,15151,5,48,0
1130,15151,10,51,0
1131,15159,2,38,0
1132,15159,4,57,0
1133,15159,9,36,0
1134,15159,11,53,0
1135,15165,3,47,1
1136,15165,8,36,0
1137,15165,10,41,0
1138,15166,5,38,1
1139,15166,10,67,0
1140,15172,1,64,0
1141,15172,3,61,0
1142,15183,3,65,0
1143,15183,5,61,0
1144,15183,7,36,0
1145,15185,3,47,0
1146,15185,5,70,0
1147,15185,11,43,0
1148,15186,1,61,0
1149,15186,8,36,0
1150,15186,10,67,1
1151,15187,1,69,0
1152,15187,6,36,0
1153,15187,9,36,0
1154,15190,5,44,0
1155,15190,7,36,0
1156,15190,9,36,1
1157,15190,12,36,0
1158,15191,2,62,0
1159,15191,5,54,0
1160,15191,7,36,0
1161,15192,6,36,0
1162,15192,11,38,0
1163,15197,7,36,0
1164,15197,9,36,0
1165,15199,3,38,0
1166,15199,5,56,0
1167,15199,10,72,1
1168,15200,2,70,0
1169,15200,4,68,0
1170,15200,8,36,0
1171,15203,4,55,0
1172,15203,10,60,0
1173,15203,12,36,0
1174,15205,5,37,0
1175,15205,9,36,0
1176,15205,12,36,1
1177,15206,1,68,1
1178,15206,3,49,0
1179,15206,5,61,0
1180,15208,1,48,0
1181,15208,4,46,1
1182,15208,10,49,0
1183,15211,2,38,1
1184,15211,10,67,1
1185,15211,12,36,0
1186,15212,5,56,0
1187,15212,8,36,0
1188,15212,11,36,0
1189,15213,7,36,0
1190,15213,10,62,0
1191,15213,12,36,0
1192,15214,1,38,0
1193,15214,3,70,0
1194,15214,5,67,0
1195,15215,2,53,1
1196,15215,4,60,1
1197,15215,6,36,0
1198,15217,2,45,1
1199,15217,6,36,0
1200,15217,11,59,0
1201,15218,1,48,1
1202,15218,3,48,0
1203,15218,5,60,1
1204,15219,2,66,0
1205,15219,5,71,1
1206,15219,7,36,0
1207,15224,5,69,0
1208,15224,8,36,0
1209,15224,11,36,0
1210,15225,2,43,1
1211,15225,4,68,1
1212,15225,6,36,1
1213,15225,8,36,0
1214,15226,2,61,0
1215,15226,7,36,0
1216,15226,10,64,0
1217,15227,9,36,0
1218,15227,12,36,0
1219,15228,1,60,0
1220,15228,3,67,0
1221,15228,5,52,0
1222,15229,1,55,1
1223,15229,5,44,0
1224,15229,9,36,0
1225,15231,4,56,0
1226,15231,8,36,0
1227,15231,11,51,0
1228,15306,5,44,0
1229,15306,7,36,0
1230,15306,9,36,0
1231,15306,12,36,0
1232,15309,1,52,0
1233,15309,3,40,0
1234,15309,8,36,0
1235,15313,4,66,1
1236,15313,7,36,0
1237,15313,9,36,1
1238,15313,12,36,0
1239,15315,1,50,0
1240,15315,3,38,0
1241,15315,4,8,0
1242,15315,10,60,0
1243,15318,2,62,0
1244,15318,4,64,0
1245,15318,6,36,0
1246,15320,1,51,0
1247,15320,3,42,0
